date,event,corner_a,corner_b,elo_diff,win_total_diff,loss_total_diff,win_streak_diff,loss_streak_diff,finish_rate_diff,avg_opponent_elo_diff,layoff_days_diff,age_diff,height_in_diff,reach_in_diff,a_won
1996-05-17,UFC 9: Motor City Madness,Ken Shamrock,Dan Severn,-27.318740344539947,-3,-1,2,0,0.2333333333333334,352.61091337767664,-62,-5.0,-1.0,,0
1996-05-17,UFC 9: Motor City Madness,Don Frye,Amaury Bitetti,45.8278203282016,3,0,3,0,1.0,0.0,91,3.0,4.0,,1
1996-05-17,UFC 9: Motor City Madness,Koji Kitao,Mark Hall,-15.329780066267404,-2,-1,-2,0,-0.6666666666666666,10.408983409134976,-153,1.0,7.0,,0
1996-05-17,UFC 9: Motor City Madness,Mark Schultz,Gary Goodridge,-16.702398663352824,-2,-1,-2,0,-0.6666666666666666,0.0,-91,5.0,-5.0,,1
1996-05-17,UFC 9: Motor City Madness,Matt Andersen,Rafael Carino,0.0,0,0,0,0,0.0,0.0,0,,-6.0,,0
1996-05-17,UFC 9: Motor City Madness,Zane Frazier,Cal Worsham,-0.00022555688474312774,0,0,0,0,0.0,-0.004909276280841368,609,,8.0,,0
1996-05-17,UFC 9: Motor City Madness,Tai Bowden,Steve Nelmark,0.0,0,0,0,0,0.0,0.0,0,,-1.0,,0
1996-07-12,UFC 10: The Tournament,Mark Coleman,Don Frye,-59.72952611935398,-4,0,-4,0,-1.0,0.0,-56,1.0,0.0,,1
1996-07-12,UFC 10: The Tournament,Gary Goodridge,Mark Coleman,-18.790047770583783,1,2,-1,1,-0.5,-59.72952611935398,56,-1.0,2.0,,0
1996-07-12,UFC 10: The Tournament,Brian Johnston,Don Frye,-41.005661583480105,-4,-1,0,-1,-0.8,0.0,0,-3.0,3.0,,0
1996-07-12,UFC 10: The Tournament,John Campatella,Gary Goodridge,15.201712215503562,-2,-3,0,-2,-0.4,-3.74477290717482,0,,-6.0,,0
1996-07-12,UFC 10: The Tournament,Mark Coleman,Moti Horenstein,33.85939351666775,2,0,2,0,1.0,29.831671442322204,0,-1.0,-1.0,,1
1996-07-12,UFC 10: The Tournament,Brian Johnston,Scott Fiedler,-14.1203390539049,0,1,0,1,0.0,41.005661583480105,0,,0.0,,1
1996-07-12,UFC 10: The Tournament,Don Frye,Mark Hall,24.501725264186007,2,0,-2,0,0.08333333333333337,7.806737556851203,-56,-5.0,1.0,,1
1996-07-12,UFC 10: The Tournament,Felix Mitchell,Sam Adkins,-17.372516355066637,-1,0,-1,1,-0.5,-6.561226033953403,525,,-4.0,,0
1996-07-12,UFC 10: The Tournament,Geza Kalman,Dieusel Berto,-15.263693206478024,0,1,0,1,0.0,16.0,308,,1.0,,1
1996-09-20,UFC 11: The Proving Ground,Scott Ferrozzo,David Abbott,-37.00765317136677,-3,-1,-1,1,-0.6,-36.1461668002014,-62,0.0,-1.0,,1
1996-09-20,UFC 11: The Proving Ground,Mark Coleman,Brian Johnston,45.77545977030195,2,-1,2,0,0.5,-0.6150498301918788,0,3.0,-3.0,,1
1996-09-20,UFC 11: The Proving Ground,Fabio Gurgel,Jerry Bohlander,-0.033833021120699414,-1,-1,-1,0,-0.5,8.0,-217,5.0,1.0,,0
1996-09-20,UFC 11: The Proving Ground,Sam Adkins,David Abbott,14.0997418701088,-1,-2,2,-1,-0.16666666666666669,-13.357774166132458,70,0.0,3.0,,0
1996-09-20,UFC 11: The Proving Ground,Reza Nasri,Brian Johnston,11.374506856421249,-1,-2,0,-1,-0.3333333333333333,-29.770230052434272,0,,-5.0,,0
1996-09-20,UFC 11: The Proving Ground,Mark Coleman,Julian Sanchez,62.209104233765174,4,0,4,0,1.0,15.548227922041406,0,,-2.0,,1
1996-09-20,UFC 11: The Proving Ground,Dave Berry,Roberto Traven,0.0,0,0,0,0,0.0,0.0,0,,-2.0,,0
1996-09-20,UFC 11: The Proving Ground,Sam Fulton,Scott Ferrozzo,-0.9277093044873936,-1,-1,-1,0,0.0,-1.7506032816011157,0,,3.0,,0
1996-12-07,UFC 11.5: Ultimate Ultimate 1996,David Abbott,Don Frye,-50.81089618942951,-2,2,-1,0,-0.2857142857142857,9.470612993322675,-70,0.0,-1.0,,0
